symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
NHPC,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 14:45:00,75.96,76.29714285714286,394,-132.83,-164.66,-1.02,trailing_stop
NYKAA,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 14:45:00,268.85,267.1214285714285,111,191.87,160.35,1.97,trailing_stop
TRENT,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 15:10:00,2823.6,2841.1285714285714,10,-175.29,-205.34,-0.83,trailing_stop
UNIONBANK,bollinger_meanrev,MIS,2026-06-04 14:35:00,2026-06-04 14:45:00,161.87,162.09857142857143,185,-42.29,-74.07,-0.44,trailing_stop
COROMANDEL,bollinger_meanrev,MIS,2026-06-04 14:40:00,2026-06-04 14:50:00,1759.1,1759.8428571428572,17,-12.63,-44.35,-0.14,trailing_stop
FEDERALBNK,bollinger_meanrev,MIS,2026-06-04 14:40:00,2026-06-04 15:05:00,299.85,299.8071428571428,100,4.29,-27.51,0.03,trailing_stop
BHARTIARTL,bollinger_meanrev,MIS,2026-06-04 14:45:00,2026-06-04 15:00:00,1812.1,1817.4571428571428,16,-85.71,-116.52,-0.89,trailing_stop
VEDL,bollinger_meanrev,MIS,2026-06-04 14:55:00,2026-06-04 15:10:00,329.5,327.0,91,227.5,195.85,1.26,target_mid_band
TITAN,bollinger_meanrev,MIS,2026-06-04 15:20:00,2026-06-04 15:25:00,4245.1,4250.0,7,-34.3,-65.83,-0.21,forced_close
APOLLOHOSP,bollinger_meanrev,MIS,2026-06-05 09:15:00,2026-06-05 10:25:00,8332.5,8289.5,3,129.0,102.57,1.06,target_mid_band
CONCOR,bollinger_meanrev,MIS,2026-06-05 09:15:00,2026-06-05 09:30:00,457.0,456.48571428571427,65,33.43,1.95,0.22,trailing_stop
GAIL,bollinger_meanrev,MIS,2026-06-05 09:15:00,2026-06-05 09:40:00,168.71,169.06714285714287,177,-63.21,-94.92,-0.35,trailing_stop
